shot_ID,tag,val,val_str
63,field_loc_x,0.615955,NULL
63,field_loc_y,0.464063,NULL
63,goal_loc_x,0.763905,NULL
63,goal_loc_y,0.469063,NULL
63,def_scheme,NULL,man
63,is_transition,1,NULL
63,is_off_dodge,1,NULL
63,is_right_handed,1,NULL
63,shot_quality,2,NULL
64,field_loc_x,0.615955,NULL
64,field_loc_y,0.504062,NULL
64,def_scheme,NULL,man
64,is_transition,1,NULL
64,is_off_dodge,1,NULL
64,is_right_handed,1,NULL
64,shot_quality,1,NULL
64,goal_loc_x,0.636817,NULL
64,goal_loc_y,0.859062,NULL
65,field_loc_x,0.625065,NULL
65,field_loc_y,0.499063,NULL
65,goal_loc_x,0.123575,NULL
65,goal_loc_y,0.164062,NULL
65,def_scheme,NULL,man
65,is_transition,1,NULL
65,is_off_dodge,1,NULL
65,is_right_handed,1,NULL
65,shot_quality,3,NULL
66,field_loc_x,0.515743,NULL
66,field_loc_y,0.564062,NULL
66,def_scheme,NULL,man
66,is_transition,1,NULL
66,is_off_dodge,1,NULL
66,is_right_handed,0,NULL
66,shot_quality,1,NULL
66,goal_loc_x,0.436408,NULL
66,goal_loc_y,0.704063,NULL
67,field_loc_x,0.476266,NULL
67,field_loc_y,0.279063,NULL
67,goal_loc_x,0.587937,NULL
67,goal_loc_y,0.819062,NULL
67,def_scheme,NULL,man
67,is_transition,0,NULL
67,is_off_dodge,1,NULL
67,is_right_handed,1,NULL
67,shot_quality,3,NULL
68,field_loc_x,0.521817,NULL
68,field_loc_y,0.434063,NULL
68,goal_loc_x,0.387528,NULL
68,goal_loc_y,0.809062,NULL
68,def_scheme,NULL,man
68,is_transition,0,NULL
68,is_off_dodge,0,NULL
68,is_right_handed,1,NULL
68,shot_quality,2,NULL
69,field_loc_x,0.552184,NULL
69,field_loc_y,0.689062,NULL
69,goal_loc_x,0.666145,NULL
69,goal_loc_y,0.629062,NULL
69,def_scheme,NULL,man
69,is_transition,0,NULL
